index,predicted_class,predicted_probability,lung_energy_fraction
399,Pneumonia,0.13535253703594208,0.47754350304603577
318,Pneumonia,0.9999569654464722,0.4469393491744995
259,Pneumonia,0.9997922778129578,0.514094889163971
515,Pneumonia,0.002116663847118616,nan
53,Pneumonia,0.9993232488632202,0.6939874887466431
56,Pneumonia,0.9998087286949158,0.5130547881126404
112,Pneumonia,0.9992826581001282,0.5470533967018127
511,Pneumonia,0.9998788833618164,0.7030462622642517
479,Pneumonia,0.0801580622792244,0.7149375081062317
419,Pneumonia,0.9219815135002136,0.6268633604049683
78,Pneumonia,0.9997674822807312,0.5463559031486511
121,Pneumonia,0.9998507499694824,0.6627182364463806
591,Pneumonia,0.052627865225076675,0.44443950057029724
313,Pneumonia,0.9999570846557617,0.4637701213359833
514,Pneumonia,0.9998466968536377,0.520378053188324
483,Pneumonia,0.1269516497850418,0.43406549096107483
228,Pneumonia,0.9999508857727051,0.4046436548233032
446,Pneumonia,0.9994387030601501,0.7347059845924377
249,Pneumonia,0.999647855758667,0.4439365863800049
262,Pneumonia,0.9955006241798401,0.45787742733955383
623,Pneumonia,0.9323999285697937,0.7889674305915833
339,Pneumonia,0.9983545541763306,0.5240580439567566
276,Pneumonia,0.999795138835907,0.5748739242553711
307,Pneumonia,0.9949368238449097,0.45132431387901306
461,Pneumonia,0.02101209945976734,nan
572,Pneumonia,0.9863672852516174,0.6425421833992004
436,Pneumonia,0.9979488253593445,0.6972845196723938
390,Pneumonia,0.9755446314811707,0.7809235453605652
51,Pneumonia,0.9997138381004333,0.4989495873451233
462,Pneumonia,0.8269912600517273,0.39177241921424866
