index,predicted_class,predicted_probability,lung_energy_fraction
399,Pneumonia,0.1590195745229721,nan
318,Pneumonia,0.9999345541000366,0.4602247476577759
259,Pneumonia,0.999446451663971,0.573123574256897
515,Pneumonia,0.022465530782938004,nan
53,Pneumonia,0.9992232322692871,0.7304249405860901
56,Pneumonia,0.9994230270385742,0.4685295522212982
112,Pneumonia,0.9989497065544128,0.5447360873222351
511,Pneumonia,0.9996346235275269,0.7338707447052002
479,Pneumonia,0.39331430196762085,0.6793622374534607
419,Pneumonia,0.8954700827598572,0.5904780626296997
78,Pneumonia,0.9992232322692871,0.5334665179252625
121,Pneumonia,0.999484658241272,0.6297570466995239
591,Pneumonia,0.3007450997829437,0.18376889824867249
313,Pneumonia,0.999728262424469,0.5113232731819153
514,Pneumonia,0.9995330572128296,0.5133011341094971
483,Pneumonia,0.3501698672771454,0.701892614364624
228,Pneumonia,0.999363124370575,0.5235613584518433
446,Pneumonia,0.9864739179611206,0.7206281423568726
249,Pneumonia,0.9996762275695801,0.4808313846588135
262,Pneumonia,0.9867109656333923,0.4280862510204315
623,Pneumonia,0.953737735748291,0.7437957525253296
339,Pneumonia,0.9946476817131042,0.559016764163971
276,Pneumonia,0.9994650483131409,0.5825890302658081
307,Pneumonia,0.9979541301727295,0.4113285541534424
461,Pneumonia,0.05825438350439072,0.0
572,Pneumonia,0.9854757189750671,0.5467579364776611
436,Pneumonia,0.9971557855606079,0.6859598755836487
390,Pneumonia,0.9328051209449768,0.5335338711738586
51,Pneumonia,0.9993929862976074,0.5136539936065674
462,Pneumonia,0.6667554974555969,0.45156118273735046
