index,predicted_class,predicted_probability,lung_energy_fraction
399,Pneumonia,0.35072949528694153,0.5043228268623352
318,Pneumonia,0.9999711513519287,0.4106125235557556
259,Pneumonia,0.9994656443595886,0.4962444603443146
515,Pneumonia,0.0076409741304814816,nan
53,Pneumonia,0.999298095703125,0.5631037354469299
56,Pneumonia,0.9999173879623413,0.34215205907821655
112,Pneumonia,0.999222993850708,0.5152292251586914
511,Pneumonia,0.999943733215332,0.6345329284667969
479,Pneumonia,0.00779469171538949,0.013081411831080914
419,Pneumonia,0.30334389209747314,0.7345241904258728
78,Pneumonia,0.9999188184738159,0.4953801929950714
121,Pneumonia,0.9996019005775452,0.6094706654548645
591,Pneumonia,0.09369266033172607,0.4131520688533783
313,Pneumonia,0.9999207258224487,0.4725459814071655
514,Pneumonia,0.9965413212776184,0.5399789810180664
483,Pneumonia,0.15298132598400116,0.7449391484260559
228,Pneumonia,0.999883770942688,0.34890222549438477
446,Pneumonia,0.9971953630447388,0.6266565322875977
249,Pneumonia,0.9999454021453857,0.48683416843414307
262,Pneumonia,0.9678250551223755,0.5564184784889221
623,Pneumonia,0.682056188583374,0.7459001541137695
339,Pneumonia,0.9997943043708801,0.41007447242736816
276,Pneumonia,0.9985812902450562,0.5388637185096741
307,Pneumonia,0.9992973804473877,0.419769823551178
461,Pneumonia,0.001186987035907805,nan
572,Pneumonia,0.9429072141647339,0.5590029954910278
436,Pneumonia,0.9802441596984863,0.5907551050186157
390,Pneumonia,0.275841623544693,0.6374263167381287
51,Pneumonia,0.9997672438621521,0.46312031149864197
462,Pneumonia,0.3064044117927551,0.4340885579586029
